Mean square error
0.010729267228652459
Point,X(mm),Y(mm),Z(mm),dX(mm),dY(mm),dZ(mm),dP(mm)
2803,2149.254235516936,1454.8255959340643,-5917.61700668508,0.08429607424619058,0.10974118144120833,0.29774276114676734,0.32832865676442624
2804,2152.5839383435646,1204.2932104775969,-5920.896779812255,0.08459299323719081,0.10150483475131479,0.29725001449709126,0.32529490789319176
2805,2149.437294483841,958.503838772408,-5920.901950288203,0.08510313401904505,0.09381043107257653,0.29647683083776155,0.3223995217451305
2806,2153.3333274086394,659.057709277167,-5921.244600575158,0.08463289817208246,0.08542133266048108,0.2953192850986295,0.31886205744438184
2807,2150.736820889935,436.5839884453189,-5920.855861683421,0.08347609405241926,0.08043958927681741,0.29402811729946027,0.3160558804451146
2808,2152.771182222058,151.070667829674,-5921.920417790789,0.0826070089225954,0.07595253283647792,0.29270589259922103,0.31347957625612666
2809,2153.474299906001,-102.12848283237923,-5921.884340396665,0.08243329577905574,0.0741510254854858,0.2918124120853309,0.3121667930459699
2810,2153.6203892542962,-519.3393306586462,-5922.508387221665,0.08236784956948777,0.07633320141656565,0.2908434473905276,0.31177095947379435
2811,2153.055719701259,-814.3246570280648,-5922.40378994434,0.08280133622943277,0.08092768265006646,0.2904466612830286,0.3126733345697196
2812,2153.603909139211,-1085.742910803159,-5923.488091393754,0.08345662120916802,0.08684817395224809,0.2903085060093648,0.31430342283195056
4401,2660.308495444551,1869.4938492962149,-4907.514644554889,0.06972884115675182,0.10932401998771535,0.21693553027076123,0.2527347956439601
4402,2657.980323357882,1660.5471823501996,-4904.537714679102,0.06768864978174692,0.10100379452150927,0.21519405895492652,0.2471679648063552
4403,2662.6725865204994,1297.5575837183164,-4907.436163260588,0.0666702917995989,0.08865094740403516,0.21373351638320545,0.24080268750536532
4404,2663.1787842638023,925.237222274083,-4906.958344750582,0.06658928427947176,0.07836032285081673,0.21248826008607435,0.23606298662124842
4405,2662.4671861492106,579.5718807936586,-4906.041875264254,0.06703389259377684,0.0710504866678999,0.21162116669880676,0.23307773940679877
4406,2660.827563269565,310.3520636111175,-4905.107674380428,0.06753765763526774,0.06681364210681348,0.21103114241542914,0.23142934351459654
4407,2660.6101141387326,-43.58936335582578,-4905.662862534311,0.06705275365926404,0.06384403731617896,0.20998404535781007,0.22948950341780436
